UniProt_id,Reactome_id,URL,Description,Evidence Code,Species
O14818,R-HSA-1236978,https://reactome.org/PathwayBrowser/#/R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),TAS,Homo sapiens
O14818,R-HSA-174084,https://reactome.org/PathwayBrowser/#/R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,TAS,Homo sapiens
O14818,R-HSA-174113,https://reactome.org/PathwayBrowser/#/R-HSA-174113,SCF-beta-TrCP mediated degradation of Emi1,TAS,Homo sapiens
O14818,R-HSA-174154,https://reactome.org/PathwayBrowser/#/R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,TAS,Homo sapiens
O14818,R-HSA-174178,https://reactome.org/PathwayBrowser/#/R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,TAS,Homo sapiens
O14818,R-HSA-174184,https://reactome.org/PathwayBrowser/#/R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,TAS,Homo sapiens
O14818,R-HSA-180534,https://reactome.org/PathwayBrowser/#/R-HSA-180534,Vpu mediated degradation of CD4,TAS,Homo sapiens
O14818,R-HSA-180585,https://reactome.org/PathwayBrowser/#/R-HSA-180585,Vif-mediated degradation of APOBEC3G,TAS,Homo sapiens
O14818,R-HSA-187577,https://reactome.org/PathwayBrowser/#/R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,TAS,Homo sapiens
O14818,R-HSA-195253,https://reactome.org/PathwayBrowser/#/R-HSA-195253,Degradation of beta-catenin by the destruction complex,TAS,Homo sapiens
O14818,R-HSA-202424,https://reactome.org/PathwayBrowser/#/R-HSA-202424,Downstream TCR signaling,TAS,Homo sapiens
O14818,R-HSA-211733,https://reactome.org/PathwayBrowser/#/R-HSA-211733,Regulation of activated PAK-2p34 by proteasome mediated degradation,IEA,Homo sapiens
O14818,R-HSA-2467813,https://reactome.org/PathwayBrowser/#/R-HSA-2467813,Separation of Sister Chromatids,TAS,Homo sapiens
O14818,R-HSA-2871837,https://reactome.org/PathwayBrowser/#/R-HSA-2871837,FCERI mediated NF-kB activation,TAS,Homo sapiens
O14818,R-HSA-349425,https://reactome.org/PathwayBrowser/#/R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,TAS,Homo sapiens
O14818,R-HSA-350562,https://reactome.org/PathwayBrowser/#/R-HSA-350562,Regulation of ornithine decarboxylase (ODC),TAS,Homo sapiens
O14818,R-HSA-382556,https://reactome.org/PathwayBrowser/#/R-HSA-382556,ABC-family proteins mediated transport,TAS,Homo sapiens
O14818,R-HSA-450408,https://reactome.org/PathwayBrowser/#/R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,TAS,Homo sapiens
O14818,R-HSA-4608870,https://reactome.org/PathwayBrowser/#/R-HSA-4608870,Asymmetric localization of PCP proteins,TAS,Homo sapiens
O14818,R-HSA-4641257,https://reactome.org/PathwayBrowser/#/R-HSA-4641257,Degradation of AXIN,TAS,Homo sapiens
O14818,R-HSA-4641258,https://reactome.org/PathwayBrowser/#/R-HSA-4641258,Degradation of DVL,TAS,Homo sapiens
O14818,R-HSA-5358346,https://reactome.org/PathwayBrowser/#/R-HSA-5358346,Hedgehog ligand biogenesis,TAS,Homo sapiens
O14818,R-HSA-5362768,https://reactome.org/PathwayBrowser/#/R-HSA-5362768,Hh mutants are degraded by ERAD,TAS,Homo sapiens
O14818,R-HSA-5607761,https://reactome.org/PathwayBrowser/#/R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,TAS,Homo sapiens
O14818,R-HSA-5607764,https://reactome.org/PathwayBrowser/#/R-HSA-5607764,CLEC7A (Dectin-1) signaling,TAS,Homo sapiens
O14818,R-HSA-5610780,https://reactome.org/PathwayBrowser/#/R-HSA-5610780,Degradation of GLI1 by the proteasome,TAS,Homo sapiens
O14818,R-HSA-5610783,https://reactome.org/PathwayBrowser/#/R-HSA-5610783,Degradation of GLI2 by the proteasome,IEA,Homo sapiens
O14818,R-HSA-5610785,https://reactome.org/PathwayBrowser/#/R-HSA-5610785,GLI3 is processed to GLI3R by the proteasome,TAS,Homo sapiens
O14818,R-HSA-5632684,https://reactome.org/PathwayBrowser/#/R-HSA-5632684,Hedgehog 'on' state,TAS,Homo sapiens
O14818,R-HSA-5658442,https://reactome.org/PathwayBrowser/#/R-HSA-5658442,Regulation of RAS by GAPs,TAS,Homo sapiens
O14818,R-HSA-5668541,https://reactome.org/PathwayBrowser/#/R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,TAS,Homo sapiens
O14818,R-HSA-5676590,https://reactome.org/PathwayBrowser/#/R-HSA-5676590,NIK-->noncanonical NF-kB signaling,TAS,Homo sapiens
O14818,R-HSA-5678895,https://reactome.org/PathwayBrowser/#/R-HSA-5678895,Defective CFTR causes cystic fibrosis,TAS,Homo sapiens
O14818,R-HSA-5687128,https://reactome.org/PathwayBrowser/#/R-HSA-5687128,MAPK6/MAPK4 signaling,TAS,Homo sapiens
O14818,R-HSA-5689603,https://reactome.org/PathwayBrowser/#/R-HSA-5689603,UCH proteinases,TAS,Homo sapiens
O14818,R-HSA-5689880,https://reactome.org/PathwayBrowser/#/R-HSA-5689880,Ub-specific processing proteases,TAS,Homo sapiens
O14818,R-HSA-68867,https://reactome.org/PathwayBrowser/#/R-HSA-68867,Assembly of the pre-replicative complex,TAS,Homo sapiens
O14818,R-HSA-68949,https://reactome.org/PathwayBrowser/#/R-HSA-68949,Orc1 removal from chromatin,TAS,Homo sapiens
O14818,R-HSA-69017,https://reactome.org/PathwayBrowser/#/R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,TAS,Homo sapiens
O14818,R-HSA-69481,https://reactome.org/PathwayBrowser/#/R-HSA-69481,G2/M Checkpoints,TAS,Homo sapiens
O14818,R-HSA-69601,https://reactome.org/PathwayBrowser/#/R-HSA-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,TAS,Homo sapiens
O14818,R-HSA-75815,https://reactome.org/PathwayBrowser/#/R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D,TAS,Homo sapiens
O14818,R-HSA-8852276,https://reactome.org/PathwayBrowser/#/R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,TAS,Homo sapiens
O14818,R-HSA-8854050,https://reactome.org/PathwayBrowser/#/R-HSA-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,TAS,Homo sapiens
O14818,R-HSA-8939236,https://reactome.org/PathwayBrowser/#/R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,TAS,Homo sapiens
O14818,R-HSA-8939902,https://reactome.org/PathwayBrowser/#/R-HSA-8939902,Regulation of RUNX2 expression and activity,IEA,Homo sapiens
O14818,R-HSA-8939902,https://reactome.org/PathwayBrowser/#/R-HSA-8939902,Regulation of RUNX2 expression and activity,TAS,Homo sapiens
O14818,R-HSA-8941858,https://reactome.org/PathwayBrowser/#/R-HSA-8941858,Regulation of RUNX3 expression and activity,TAS,Homo sapiens
O14818,R-HSA-8948751,https://reactome.org/PathwayBrowser/#/R-HSA-8948751,Regulation of PTEN stability and activity,TAS,Homo sapiens
O14818,R-HSA-8951664,https://reactome.org/PathwayBrowser/#/R-HSA-8951664,Neddylation,TAS,Homo sapiens
O14818,R-HSA-9010553,https://reactome.org/PathwayBrowser/#/R-HSA-9010553,Regulation of expression of SLITs and ROBOs,IEA,Homo sapiens
O14818,R-HSA-9020702,https://reactome.org/PathwayBrowser/#/R-HSA-9020702,Interleukin-1 signaling,TAS,Homo sapiens
O14818,R-HSA-9604323,https://reactome.org/PathwayBrowser/#/R-HSA-9604323,Negative regulation of NOTCH4 signaling,IEA,Homo sapiens
O14818,R-HSA-9755511,https://reactome.org/PathwayBrowser/#/R-HSA-9755511,KEAP1-NFE2L2 pathway,TAS,Homo sapiens
O14818,R-HSA-9762114,https://reactome.org/PathwayBrowser/#/R-HSA-9762114,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,TAS,Homo sapiens
O14818,R-HSA-983168,https://reactome.org/PathwayBrowser/#/R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,TAS,Homo sapiens
O14841,R-HSA-174403,https://reactome.org/PathwayBrowser/#/R-HSA-174403,Glutathione synthesis and recycling,TAS,Homo sapiens
O14841,R-HSA-5578998,https://reactome.org/PathwayBrowser/#/R-HSA-5578998,Defective OPLAH causes OPLAHD,TAS,Homo sapiens
O14950,R-HSA-3928663,https://reactome.org/PathwayBrowser/#/R-HSA-3928663,EPHA-mediated growth cone collapse,IEA,Homo sapiens
O14950,R-HSA-416572,https://reactome.org/PathwayBrowser/#/R-HSA-416572,Sema4D induced cell migration and growth-cone collapse,IEA,Homo sapiens
O14950,R-HSA-445355,https://reactome.org/PathwayBrowser/#/R-HSA-445355,Smooth Muscle Contraction,TAS,Homo sapiens
O14950,R-HSA-5625740,https://reactome.org/PathwayBrowser/#/R-HSA-5625740,RHO GTPases activate PKNs,IEA,Homo sapiens
O14950,R-HSA-5625900,https://reactome.org/PathwayBrowser/#/R-HSA-5625900,RHO GTPases activate CIT,IEA,Homo sapiens
O14950,R-HSA-5627117,https://reactome.org/PathwayBrowser/#/R-HSA-5627117,RHO GTPases Activate ROCKs,IEA,Homo sapiens
O14950,R-HSA-5627123,https://reactome.org/PathwayBrowser/#/R-HSA-5627123,RHO GTPases activate PAKs,IEA,Homo sapiens
O14950,R-HSA-5627123,https://reactome.org/PathwayBrowser/#/R-HSA-5627123,RHO GTPases activate PAKs,TAS,Homo sapiens
O15143,R-HSA-2029482,https://reactome.org/PathwayBrowser/#/R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,TAS,Homo sapiens
O15143,R-HSA-2029482,https://reactome.org/PathwayBrowser/#/R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,IEA,Homo sapiens
O15143,R-HSA-3928662,https://reactome.org/PathwayBrowser/#/R-HSA-3928662,EPHB-mediated forward signaling,TAS,Homo sapiens
O15143,R-HSA-5663213,https://reactome.org/PathwayBrowser/#/R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,TAS,Homo sapiens
O15143,R-HSA-5663213,https://reactome.org/PathwayBrowser/#/R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,IEA,Homo sapiens
O15143,R-HSA-9664422,https://reactome.org/PathwayBrowser/#/R-HSA-9664422,FCGR3A-mediated phagocytosis,TAS,Homo sapiens
O15143,R-HSA-9664422,https://reactome.org/PathwayBrowser/#/R-HSA-9664422,FCGR3A-mediated phagocytosis,IEA,Homo sapiens
O15145,R-HSA-2029482,https://reactome.org/PathwayBrowser/#/R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,TAS,Homo sapiens
O15145,R-HSA-2029482,https://reactome.org/PathwayBrowser/#/R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,IEA,Homo sapiens
O15145,R-HSA-3928662,https://reactome.org/PathwayBrowser/#/R-HSA-3928662,EPHB-mediated forward signaling,TAS,Homo sapiens
O15145,R-HSA-5663213,https://reactome.org/PathwayBrowser/#/R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,TAS,Homo sapiens
O15145,R-HSA-5663213,https://reactome.org/PathwayBrowser/#/R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,IEA,Homo sapiens
O15145,R-HSA-8856828,https://reactome.org/PathwayBrowser/#/R-HSA-8856828,Clathrin-mediated endocytosis,TAS,Homo sapiens
O15145,R-HSA-9664422,https://reactome.org/PathwayBrowser/#/R-HSA-9664422,FCGR3A-mediated phagocytosis,TAS,Homo sapiens
O15145,R-HSA-9664422,https://reactome.org/PathwayBrowser/#/R-HSA-9664422,FCGR3A-mediated phagocytosis,IEA,Homo sapiens
O15511,R-HSA-2029482,https://reactome.org/PathwayBrowser/#/R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,TAS,Homo sapiens
O15511,R-HSA-2029482,https://reactome.org/PathwayBrowser/#/R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,IEA,Homo sapiens
O15511,R-HSA-3928662,https://reactome.org/PathwayBrowser/#/R-HSA-3928662,EPHB-mediated forward signaling,TAS,Homo sapiens
O15511,R-HSA-5663213,https://reactome.org/PathwayBrowser/#/R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,TAS,Homo sapiens
O15511,R-HSA-5663213,https://reactome.org/PathwayBrowser/#/R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,IEA,Homo sapiens
O15511,R-HSA-6798695,https://reactome.org/PathwayBrowser/#/R-HSA-6798695,Neutrophil degranulation,TAS,Homo sapiens
O15511,R-HSA-8856828,https://reactome.org/PathwayBrowser/#/R-HSA-8856828,Clathrin-mediated endocytosis,TAS,Homo sapiens
O15511,R-HSA-9664422,https://reactome.org/PathwayBrowser/#/R-HSA-9664422,FCGR3A-mediated phagocytosis,TAS,Homo sapiens
O15511,R-HSA-9664422,https://reactome.org/PathwayBrowser/#/R-HSA-9664422,FCGR3A-mediated phagocytosis,IEA,Homo sapiens
O43175,R-HSA-977347,https://reactome.org/PathwayBrowser/#/R-HSA-977347,Serine biosynthesis,TAS,Homo sapiens
O43488,R-HSA-5423646,https://reactome.org/PathwayBrowser/#/R-HSA-5423646,Aflatoxin activation and detoxification,TAS,Homo sapiens
O43493,R-HSA-381426,https://reactome.org/PathwayBrowser/#/R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),TAS,Homo sapiens
O43493,R-HSA-432722,https://reactome.org/PathwayBrowser/#/R-HSA-432722,Golgi Associated Vesicle Biogenesis,TAS,Homo sapiens
O43493,R-HSA-6811440,https://reactome.org/PathwayBrowser/#/R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network,TAS,Homo sapiens
O43493,R-HSA-8856825,https://reactome.org/PathwayBrowser/#/R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,TAS,Homo sapiens
O43493,R-HSA-8856828,https://reactome.org/PathwayBrowser/#/R-HSA-8856828,Clathrin-mediated endocytosis,TAS,Homo sapiens
O43493,R-HSA-8957275,https://reactome.org/PathwayBrowser/#/R-HSA-8957275,Post-translational protein phosphorylation,TAS,Homo sapiens
O43707,R-HSA-114608,https://reactome.org/PathwayBrowser/#/R-HSA-114608,Platelet degranulation ,TAS,Homo sapiens
O43707,R-HSA-373753,https://reactome.org/PathwayBrowser/#/R-HSA-373753,Nephrin family interactions,IEA,Homo sapiens
O43708,R-HSA-156590,https://reactome.org/PathwayBrowser/#/R-HSA-156590,Glutathione conjugation,TAS,Homo sapiens
O43708,R-HSA-204174,https://reactome.org/PathwayBrowser/#/R-HSA-204174,Regulation of pyruvate dehydrogenase (PDH) complex,TAS,Homo sapiens
O43708,R-HSA-8963684,https://reactome.org/PathwayBrowser/#/R-HSA-8963684,Tyrosine catabolism,TAS,Homo sapiens
O43790,R-HSA-6805567,https://reactome.org/PathwayBrowser/#/R-HSA-6805567,Keratinization,TAS,Homo sapiens
O43790,R-HSA-6809371,https://reactome.org/PathwayBrowser/#/R-HSA-6809371,Formation of the cornified envelope,TAS,Homo sapiens
O60218,R-HSA-975634,https://reactome.org/PathwayBrowser/#/R-HSA-975634,Retinoid metabolism and transport,TAS,Homo sapiens
O60361,R-HSA-499943,https://reactome.org/PathwayBrowser/#/R-HSA-499943,Interconversion of nucleotide di- and triphosphates,TAS,Homo sapiens
O60664,R-HSA-163560,https://reactome.org/PathwayBrowser/#/R-HSA-163560,Triglyceride catabolism,TAS,Homo sapiens
O60664,R-HSA-6811440,https://reactome.org/PathwayBrowser/#/R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network,TAS,Homo sapiens
O60664,R-HSA-9613354,https://reactome.org/PathwayBrowser/#/R-HSA-9613354,Lipophagy,IEA,Homo sapiens
O60664,R-HSA-9613829,https://reactome.org/PathwayBrowser/#/R-HSA-9613829,Chaperone Mediated Autophagy,IEA,Homo sapiens
O60664,R-HSA-9615710,https://reactome.org/PathwayBrowser/#/R-HSA-9615710,Late endosomal microautophagy,IEA,Homo sapiens
O60664,R-HSA-9706019,https://reactome.org/PathwayBrowser/#/R-HSA-9706019,RHOBTB3 ATPase cycle,TAS,Homo sapiens
O60701,R-HSA-173599,https://reactome.org/PathwayBrowser/#/R-HSA-173599,"Formation of the active cofactor, UDP-glucuronate",TAS,Homo sapiens
O60763,R-HSA-162658,https://reactome.org/PathwayBrowser/#/R-HSA-162658,Golgi Cisternae Pericentriolar Stack Reorganization,IEA,Homo sapiens
O60763,R-HSA-204005,https://reactome.org/PathwayBrowser/#/R-HSA-204005,COPII-mediated vesicle transport,TAS,Homo sapiens
O60763,R-HSA-6807878,https://reactome.org/PathwayBrowser/#/R-HSA-6807878,COPI-mediated anterograde transport,TAS,Homo sapiens
O75083,R-HSA-114608,https://reactome.org/PathwayBrowser/#/R-HSA-114608,Platelet degranulation ,TAS,Homo sapiens
O75144,R-HSA-388841,https://reactome.org/PathwayBrowser/#/R-HSA-388841,Costimulation by the CD28 family,TAS,Homo sapiens
O75369,R-HSA-1169408,https://reactome.org/PathwayBrowser/#/R-HSA-1169408,ISG15 antiviral mechanism,TAS,Homo sapiens
O75594,R-HSA-6798695,https://reactome.org/PathwayBrowser/#/R-HSA-6798695,Neutrophil degranulation,TAS,Homo sapiens
O75594,R-HSA-6803157,https://reactome.org/PathwayBrowser/#/R-HSA-6803157,Antimicrobial peptides,TAS,Homo sapiens
O75636,R-HSA-166662,https://reactome.org/PathwayBrowser/#/R-HSA-166662,Lectin pathway of complement activation,TAS,Homo sapiens
O75636,R-HSA-166663,https://reactome.org/PathwayBrowser/#/R-HSA-166663,Initial triggering of complement,TAS,Homo sapiens
O75636,R-HSA-2855086,https://reactome.org/PathwayBrowser/#/R-HSA-2855086,Ficolins bind to repetitive carbohydrate structures on the target cell surface,TAS,Homo sapiens
O75828,R-HSA-211945,https://reactome.org/PathwayBrowser/#/R-HSA-211945,Phase I - Functionalization of compounds,TAS,Homo sapiens
O75874,R-HSA-2978092,https://reactome.org/PathwayBrowser/#/R-HSA-2978092,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,TAS,Homo sapiens
O75874,R-HSA-389542,https://reactome.org/PathwayBrowser/#/R-HSA-389542,NADPH regeneration,TAS,Homo sapiens
O75874,R-HSA-6798695,https://reactome.org/PathwayBrowser/#/R-HSA-6798695,Neutrophil degranulation,TAS,Homo sapiens
O75874,R-HSA-9033241,https://reactome.org/PathwayBrowser/#/R-HSA-9033241,Peroxisomal protein import,TAS,Homo sapiens
O75874,R-HSA-9033241,https://reactome.org/PathwayBrowser/#/R-HSA-9033241,Peroxisomal protein import,IEA,Homo sapiens
O75874,R-HSA-9759194,https://reactome.org/PathwayBrowser/#/R-HSA-9759194,Nuclear events mediated by NFE2L2,TAS,Homo sapiens
O75891,R-HSA-196757,https://reactome.org/PathwayBrowser/#/R-HSA-196757,Metabolism of folate and pterines,TAS,Homo sapiens
O76009,R-HSA-6805567,https://reactome.org/PathwayBrowser/#/R-HSA-6805567,Keratinization,TAS,Homo sapiens
O76009,R-HSA-6809371,https://reactome.org/PathwayBrowser/#/R-HSA-6809371,Formation of the cornified envelope,TAS,Homo sapiens
O76013,R-HSA-6805567,https://reactome.org/PathwayBrowser/#/R-HSA-6805567,Keratinization,TAS,Homo sapiens
O76013,R-HSA-6809371,https://reactome.org/PathwayBrowser/#/R-HSA-6809371,Formation of the cornified envelope,TAS,Homo sapiens
